customerkey,prefix,firstname,lastname,birthdate,maritalstatus,gender,emailaddress,annualincome,totalchildren,educationlevel,occupation,homeowner,fullname,age,incomecategory
11021,Ms.,Destiny,Wilson,1978-09-03,Single,Female,destiny7@adventure-works.com,40000.0,0,Partial College,Skilled Manual,No,Destiny Wilson,47,Low
11022,Mr.,Ethan,Zhang,1978-10-12,Married,Male,ethan20@adventure-works.com,40000.0,0,Partial College,Skilled Manual,Yes,Ethan Zhang,47,Low
11023,Mr.,Seth,Edwards,1978-10-11,Married,Male,seth46@adventure-works.com,40000.0,0,Partial College,Skilled Manual,Yes,Seth Edwards,47,Low
11024,Mr.,Russell,Xie,1978-09-17,Married,Male,russell7@adventure-works.com,60000.0,0,Partial College,Skilled Manual,Yes,Russell Xie,47,Medium
11025,<Na>,Alejandro,Beck,1945-12-23,Married,Other,alejandro45@adventure-works.com,10000.0,2,Partial High School,Clerical,Yes,Alejandro Beck,80,Low
11026,Mr.,Harold,Sai,1946-04-03,Single,Male,harold3@adventure-works.com,30000.0,2,Partial College,Clerical,No,Harold Sai,80,Low
11027,Mr.,Jessie,Zhao,1946-12-07,Married,Male,jessie16@adventure-works.com,30000.0,2,Partial College,Clerical,Yes,Jessie Zhao,79,Low
11028,Mrs.,Jill,Jimenez,1946-04-11,Married,Female,jill13@adventure-works.com,30000.0,2,Partial College,Clerical,Yes,Jill Jimenez,80,Low
11029,Mr.,Jimmy,Moreno,1946-12-21,Married,Male,jimmy9@adventure-works.com,30000.0,2,Partial College,Clerical,Yes,Jimmy Moreno,79,Low
11030,Mrs.,Bethany,Yuan,1947-02-22,Married,Female,bethany10@adventure-works.com,10000.0,2,Partial High School,Clerical,Yes,Bethany Yuan,79,Low
11031,Mrs.,Theresa,Ramos,1947-08-22,Married,Female,theresa13@adventure-works.com,20000.0,4,High School,Skilled Manual,Yes,Theresa Ramos,78,Low
11032,Mrs.,Denise,Stone,1947-06-11,Married,Female,denise10@adventure-works.com,20000.0,4,High School,Skilled Manual,Yes,Denise Stone,79,Low
11033,Mr.,Jaime,Nath,1947-09-23,Married,Male,jaime41@adventure-works.com,20000.0,4,High School,Skilled Manual,Yes,Jaime Nath,78,Low
11034,Mrs.,Ebony,Gonzalez,1947-06-19,Married,Female,ebony19@adventure-works.com,20000.0,4,High School,Skilled Manual,Yes,Ebony Gonzalez,78,Low
11035,<Na>,Wendy,Dominguez,1948-02-24,Married,Other,wendy12@adventure-works.com,10000.0,2,Partial High School,Clerical,Yes,Wendy Dominguez,78,Low
11036,Ms.,Jennifer,Russell,1978-12-18,Married,Female,jennifer93@adventure-works.com,60000.0,0,Partial College,Skilled Manual,Yes,Jennifer Russell,47,Medium
11037,Ms.,Chloe,Garcia,1977-11-27,Single,Female,chloe27@adventure-works.com,40000.0,0,Partial High School,Clerical,No,Chloe Garcia,48,Low
11038,Mrs.,Diana,Hernandez,1948-03-23,Married,Female,diana2@adventure-works.com,10000.0,2,Partial High School,Clerical,Yes,Diana Hernandez,78,Low
11039,Mr.,Marc,Martin,1948-12-17,Married,Male,marc3@adventure-works.com,30000.0,3,Partial College,Clerical,Yes,Marc Martin,77,Low
11040,Mr.,Jesse,Murphy,1977-08-01,Married,Male,jesse15@adventure-works.com,30000.0,0,Partial College,Skilled Manual,Yes,Jesse Murphy,48,Low
11041,Ms.,Amanda,Carter,1977-10-16,Married,Female,amanda53@adventure-works.com,60000.0,0,Partial College,Skilled Manual,Yes,Amanda Carter,48,Medium
11042,Ms.,Megan,Sanchez,1977-06-13,Married,Female,megan28@adventure-works.com,70000.0,0,Partial College,Skilled Manual,Yes,Megan Sanchez,48,Medium
11043,Mr.,Nathan,Simmons,1976-02-24,Married,Male,nathan11@adventure-works.com,60000.0,0,Partial College,Skilled Manual,Yes,Nathan Simmons,50,Medium
11044,Mr.,Adam,Flores,1949-05-24,Married,Male,adam10@adventure-works.com,20000.0,2,Partial High School,Clerical,Yes,Adam Flores,77,Low
11045,Mr.,Leonard,Nara,1950-05-19,Single,Male,leonard18@adventure-works.com,30000.0,3,High School,Skilled Manual,No,Leonard Nara,76,Low
11046,Mrs.,Christine,Yuan,1950-03-22,Married,Female,christine4@adventure-works.com,30000.0,3,High School,Skilled Manual,Yes,Christine Yuan,76,Low
11047,Mrs.,Jaclyn,Lu,1950-02-27,Married,Female,jaclyn12@adventure-works.com,30000.0,3,High School,Skilled Manual,No,Jaclyn Lu,76,Low
11048,Mr.,Jeremy,Powell,1950-11-22,Married,Male,jeremy26@adventure-works.com,30000.0,3,High School,Skilled Manual,Yes,Jeremy Powell,75,Low
11049,Ms.,Carol,Rai,1980-07-18,Single,Female,carol8@adventure-works.com,40000.0,0,Partial High School,Clerical,Yes,Carol Rai,45,Low
11050,Mr.,Alan,Zheng,1951-09-07,Married,Male,alan23@adventure-works.com,30000.0,3,High School,Skilled Manual,Yes,Alan Zheng,74,Low
11051,Mr.,Daniel,Johnson,1951-08-04,Single,Male,daniel18@adventure-works.com,30000.0,3,High School,Skilled Manual,No,Daniel Johnson,74,Low
11052,Mrs.,Heidi,Lopez,1951-08-07,Single,Female,heidi19@adventure-works.com,40000.0,2,Partial College,Clerical,No,Heidi Lopez,74,Low
11053,Ms.,Ana,Price,1980-08-20,Married,Female,ana0@adventure-works.com,60000.0,0,Partial College,Skilled Manual,No,Ana Price,45,Medium
11054,Mrs.,Deanna,Munoz,1952-03-10,Married,Female,deanna33@adventure-works.com,40000.0,2,Partial College,Skilled Manual,Yes,Deanna Munoz,74,Low
11055,Mr.,Gilbert,Raje,1952-03-05,Married,Male,gilbert35@adventure-works.com,40000.0,2,Partial College,Skilled Manual,Yes,Gilbert Raje,74,Low
11056,Mrs.,Michele,Nath,1953-04-03,Married,Female,michele19@adventure-works.com,40000.0,3,Partial College,Skilled Manual,Yes,Michele Nath,73,Low
11057,Mr.,Carl,Andersen,1953-10-12,Married,Male,carl12@adventure-works.com,70000.0,2,Graduate Degree,Management,Yes,Carl Andersen,72,Medium
11058,Mr.,Marc,Diaz,1954-04-27,Married,Male,marc6@adventure-works.com,80000.0,2,Partial College,Skilled Manual,Yes,Marc Diaz,72,Medium
11059,Mrs.,Ashlee,Andersen,1954-04-01,Single,Female,ashlee19@adventure-works.com,80000.0,2,Partial College,Skilled Manual,Yes,Ashlee Andersen,72,Medium
11060,Mr.,Jon,Zhou,1954-03-17,Married,Male,jon28@adventure-works.com,80000.0,2,Partial College,Skilled Manual,Yes,Jon Zhou,72,Medium
11061,Mr.,Todd,Gao,1954-02-27,Married,Male,todd14@adventure-works.com,80000.0,2,Partial College,Skilled Manual,Yes,Todd Gao,72,Medium
11062,Mr.,Noah,Powell,1975-09-02,Married,Male,noah5@adventure-works.com,40000.0,0,High School,Skilled Manual,Yes,Noah Powell,50,Low
11063,Ms.,Angela,Murphy,1975-04-07,Single,Female,angela41@adventure-works.com,40000.0,0,High School,Skilled Manual,Yes,Angela Murphy,51,Low
11064,Mr.,Chase,Reed,1975-12-07,Married,Male,chase21@adventure-works.com,40000.0,0,High School,Skilled Manual,Yes,Chase Reed,50,Low
11065,Ms.,Jessica,Henderson,1973-10-09,Married,Female,jessica29@adventure-works.com,60000.0,0,Partial College,Skilled Manual,No,Jessica Henderson,52,Medium
11066,Ms.,Grace,Butler,1973-11-27,Married,Female,grace62@adventure-works.com,70000.0,0,Partial College,Professional,Yes,Grace Butler,52,Medium
11067,Mr.,Caleb,Carter,1976-09-25,Single,Male,caleb40@adventure-works.com,60000.0,0,Partial College,Professional,Yes,Caleb Carter,49,Medium
11068,Mrs.,Tiffany,Liang,1955-09-23,Single,Female,tiffany17@adventure-works.com,80000.0,2,High School,Skilled Manual,Yes,Tiffany Liang,70,Medium
11069,Mrs.,Carolyn,Navarro,1955-09-21,Single,Female,carolyn30@adventure-works.com,80000.0,2,High School,Skilled Manual,No,Carolyn Navarro,70,Medium
11070,Mr.,Willie,Raji,1955-04-05,Married,Male,willie40@adventure-works.com,80000.0,2,High School,Skilled Manual,Yes,Willie Raji,71,Medium
11071,Mrs.,Linda,Serrano,1955-06-26,Single,Female,linda31@adventure-works.com,80000.0,2,High School,Skilled Manual,Yes,Linda Serrano,70,Medium
11072,Mrs.,Casey,Luo,1955-02-06,Single,Female,casey6@adventure-works.com,80000.0,2,High School,Skilled Manual,No,Casey Luo,71,Medium
11073,Mrs.,Amy,Ye,1956-08-14,Single,Female,amy16@adventure-works.com,70000.0,2,High School,Skilled Manual,Yes,Amy Ye,69,Medium
11074,Mr.,Levi,Arun,1956-08-28,Single,Male,levi6@adventure-works.com,70000.0,2,High School,Skilled Manual,Yes,Levi Arun,69,Medium
11075,Mrs.,Felicia,Jimenez,1957-11-16,Single,Female,felicia4@adventure-works.com,80000.0,2,High School,Professional,Yes,Felicia Jimenez,68,Medium
11076,Mr.,Blake,Anderson,1957-07-13,Single,Male,blake9@adventure-works.com,80000.0,2,High School,Professional,Yes,Blake Anderson,68,Medium
11077,Mrs.,Leah,Ye,1957-09-19,Single,Female,leah7@adventure-works.com,80000.0,2,High School,Professional,No,Leah Ye,68,Medium
11078,Ms.,Gina,Martin,1974-01-10,Single,Female,gina1@adventure-works.com,40000.0,0,High School,Professional,No,Gina Martin,52,Low
11079,Mr.,Donald,Gonzalez,1959-03-11,Single,Male,donald20@adventure-works.com,160000.0,0,Graduate Degree,Management,Yes,Donald Gonzalez,67,High
11080,Mr.,Damien,Chander,1959-07-17,Married,Male,damien32@adventure-works.com,170000.0,0,Graduate Degree,Management,Yes,Damien Chander,66,High
11081,Mrs.,Savannah,Baker,1966-07-24,Married,Female,savannah39@adventure-works.com,120000.0,2,Bachelors,Management,Yes,Savannah Baker,59,High
11082,<Na>,Angela,Butler,1966-08-04,Single,Other,angela17@adventure-works.com,130000.0,0,Graduate Degree,Management,No,Angela Butler,59,High
11083,Ms.,Alyssa,Cox,1966-03-15,Married,Female,alyssa37@adventure-works.com,130000.0,0,Graduate Degree,Management,Yes,Alyssa Cox,60,High
11084,Mr.,Lucas,Phillips,1957-09-12,Single,Male,lucas7@adventure-works.com,80000.0,2,Partial High School,Skilled Manual,No,Lucas Phillips,68,Medium
11085,Mrs.,Emily,Johnson,1957-07-19,Single,Female,emily1@adventure-works.com,60000.0,2,High School,Professional,No,Emily Johnson,68,Medium
11086,Mr.,Ryan,Brown,1957-12-23,Married,Male,ryan43@adventure-works.com,70000.0,2,Partial College,Professional,Yes,Ryan Brown,68,Medium
11087,Mrs.,Tamara,Liang,1957-10-03,Married,Female,tamara6@adventure-works.com,70000.0,3,Partial College,Professional,No,Tamara Liang,68,Medium
11089,Mrs.,Abigail,Price,1957-02-05,Single,Female,abigail25@adventure-works.com,80000.0,2,Bachelors,Management,Yes,Abigail Price,69,Medium
11090,Mr.,Trevor,Bryant,1957-12-17,Single,Male,trevor18@adventure-works.com,90000.0,2,Partial College,Professional,Yes,Trevor Bryant,68,Medium
11091,Mr.,Dalton,Perez,1957-04-04,Married,Male,dalton37@adventure-works.com,90000.0,2,Partial College,Professional,Yes,Dalton Perez,69,Medium
11092,Mrs.,Cheryl,Diaz,1967-05-06,Married,Female,cheryl4@adventure-works.com,90000.0,2,Bachelors,Professional,Yes,Cheryl Diaz,59,Medium
11093,Ms.,Aimee,He,1967-09-10,Married,Female,aimee13@adventure-works.com,100000.0,0,Graduate Degree,Management,Yes,Aimee He,58,High
11094,Mr.,Cedric,Ma,1962-04-01,Single,Male,cedric15@adventure-works.com,70000.0,1,Partial College,Skilled Manual,No,Cedric Ma,64,Medium
11095,Mr.,Chad,Kumar,1962-09-01,Single,Male,chad9@adventure-works.com,70000.0,1,Partial College,Skilled Manual,Yes,Chad Kumar,63,Medium
11096,Mr.,Andrés,Anand,1962-08-10,Married,Male,,60000.0,1,Bachelors,Professional,Yes,Andrés Anand,63,Medium
11097,Mr.,Edwin,Nara,1961-10-27,Married,Male,edwin39@adventure-works.com,60000.0,1,Partial College,Skilled Manual,Yes,Edwin Nara,64,Medium
11098,Mrs.,Mallory,Rubio,1961-05-01,Single,Female,mallory7@adventure-works.com,60000.0,1,Partial College,Skilled Manual,No,Mallory Rubio,65,Medium
11099,Mr.,Adam,Ross,1961-03-08,Married,Male,adam2@adventure-works.com,60000.0,1,Bachelors,Professional,Yes,Adam Ross,65,Medium
11100,Mrs.,Latasha,Navarro,1960-09-15,Single,Female,latasha10@adventure-works.com,60000.0,1,Partial College,Skilled Manual,Yes,Latasha Navarro,65,Medium
11101,Ms.,Abby,Sai,1965-05-08,Single,Female,abby4@adventure-works.com,70000.0,0,Bachelors,Professional,No,Abby Sai,61,Medium
11102,Mrs.,Julia,Nelson,1965-04-21,Single,Female,julia7@adventure-works.com,80000.0,5,Bachelors,Professional,Yes,Julia Nelson,61,Medium
11103,Ms.,Cassie,Chande,1964-10-17,Single,Female,cassie13@adventure-works.com,70000.0,0,Bachelors,Professional,Yes,Cassie Chande,61,Medium
11104,Mr.,Edgar,Sara,1964-03-11,Married,Male,edgar11@adventure-works.com,70000.0,0,Bachelors,Professional,No,Edgar Sara,62,Medium
11105,Ms.,Candace,Fernandez,1964-12-28,Single,Female,candace15@adventure-works.com,70000.0,0,Bachelors,Professional,No,Candace Fernandez,61,Medium
11106,Mr.,Jessie,Liu,1964-09-11,Single,Male,jessie9@adventure-works.com,70000.0,0,Bachelors,Professional,No,Jessie Liu,61,Medium
11107,Mrs.,Bianca,Lin,1959-09-09,Married,Female,bianca7@adventure-works.com,90000.0,1,Bachelors,Professional,Yes,Bianca Lin,66,Medium
11108,Ms.,Kari,Alvarez,1963-07-14,Single,Female,kari25@adventure-works.com,70000.0,0,Bachelors,Professional,No,Kari Alvarez,62,Medium
11109,Mr.,Ruben,Kapoor,1963-11-05,Single,Male,ruben1@adventure-works.com,70000.0,0,Bachelors,Professional,No,Ruben Kapoor,62,Medium
11110,Mr.,Curtis,Yang,1962-06-06,Married,Male,curtis5@adventure-works.com,60000.0,1,Partial College,Skilled Manual,Yes,Curtis Yang,64,Medium
11111,Mrs.,Meredith,Gutierrez,1962-02-23,Married,Female,meredith34@adventure-works.com,60000.0,1,Partial College,Skilled Manual,Yes,Meredith Gutierrez,64,Medium
11112,Mrs.,Crystal,Wang,1962-09-09,Married,Female,crystal3@adventure-works.com,60000.0,1,Partial College,Skilled Manual,Yes,Crystal Wang,63,Medium
11113,Mr.,Micheal,Blanco,1962-02-21,Married,Male,micheal11@adventure-works.com,70000.0,5,Bachelors,Professional,Yes,Micheal Blanco,64,Medium
11114,Mrs.,Leslie,Moreno,1962-05-28,Single,Female,leslie7@adventure-works.com,70000.0,5,Partial College,Skilled Manual,Yes,Leslie Moreno,64,Medium
11115,Mr.,Alvin,Cai,1962-02-12,Married,Male,alvin20@adventure-works.com,70000.0,5,Partial College,Skilled Manual,Yes,Alvin Cai,64,Medium
11116,Mr.,Clinton,Carlson,1962-10-07,Married,Male,clinton14@adventure-works.com,70000.0,5,Partial College,Skilled Manual,Yes,Clinton Carlson,63,Medium
11117,Mrs.,April,Deng,1961-02-21,Married,Female,april1@adventure-works.com,70000.0,5,Partial College,Skilled Manual,Yes,April Deng,65,Medium
11118,Mr.,Alvin,Zeng,1957-07-03,Single,Male,alvin21@adventure-works.com,80000.0,1,Partial College,Skilled Manual,No,Alvin Zeng,68,Medium
11119,Mr.,Evan,James,1935-04-10,Single,Male,evan8@adventure-works.com,30000.0,2,Partial College,Clerical,No,Evan James,91,Low
11121,Mr.,Orlando,Suarez,1960-11-18,Married,Male,orlando19@adventure-works.com,70000.0,5,Partial College,Skilled Manual,Yes,Orlando Suarez,65,Medium
11122,Mr.,Byron,Vazquez,1960-04-02,Married,Male,byron9@adventure-works.com,70000.0,5,Partial College,Skilled Manual,Yes,Byron Vazquez,66,Medium
11123,Mr.,Philip,Alvarez,1960-06-20,Married,Male,philip4@adventure-works.com,70000.0,5,Partial College,Skilled Manual,Yes,Philip Alvarez,65,Medium
11124,Mr.,Ross,Jordan,1957-07-27,Single,Male,ross1@adventure-works.com,80000.0,1,Partial College,Skilled Manual,Yes,Ross Jordan,68,Medium
11125,Mrs.,Dana,Navarro,1956-04-08,Single,Female,dana2@adventure-works.com,70000.0,1,Partial College,Skilled Manual,Yes,Dana Navarro,70,Medium
11126,Mr.,Shaun,Carson,1949-04-07,Married,Male,shaun16@adventure-works.com,10000.0,2,High School,Skilled Manual,No,Shaun Carson,77,Low
11127,Ms.,Jan,Edwards,1975-10-21,Married,Female,jan11@adventure-works.com,40000.0,0,High School,Skilled Manual,Yes,Jan Edwards,50,Low
11128,Ms.,Samantha,Long,1975-12-05,Married,Female,samantha35@adventure-works.com,40000.0,0,High School,Skilled Manual,Yes,Samantha Long,50,Low
11129,Ms.,Julia,Wright,1975-08-05,Single,Female,julia17@adventure-works.com,40000.0,0,High School,Skilled Manual,Yes,Julia Wright,50,Low
11130,Ms.,Caroline,Russell,1980-01-06,Married,Female,caroline21@adventure-works.com,30000.0,0,High School,Skilled Manual,Yes,Caroline Russell,46,Low
11131,Ms.,Amanda,Rivera,1980-03-12,Married,Female,amanda7@adventure-works.com,30000.0,0,High School,Skilled Manual,No,Amanda Rivera,46,Low
11132,Ms.,Melissa,Richardson,1980-10-26,Single,Female,melissa31@adventure-works.com,30000.0,0,High School,Skilled Manual,No,Melissa Richardson,45,Low
11133,Ms.,Angela,Griffin,1980-09-08,Single,Female,angela23@adventure-works.com,30000.0,0,Partial High School,Clerical,No,Angela Griffin,45,Low
11134,Mr.,Larry,Townsend,1946-02-26,Single,Male,larry14@adventure-works.com,10000.0,5,High School,Skilled Manual,Yes,Larry Townsend,80,Low
11135,Mr.,Marcus,Harris,1979-11-03,Single,Male,marcus14@adventure-works.com,30000.0,0,Partial High School,Clerical,No,Marcus Harris,46,Low
11136,Ms.,Brianna,Morgan,1978-10-26,Single,Female,brianna30@adventure-works.com,40000.0,0,High School,Skilled Manual,No,Brianna Morgan,47,Low
11137,Ms.,Jasmine,Taylor,1978-07-20,Married,Female,jasmine7@adventure-works.com,40000.0,0,High School,Skilled Manual,Yes,Jasmine Taylor,47,Low
11138,Ms.,Lauren,Davis,1978-09-15,Married,Female,lauren23@adventure-works.com,40000.0,0,High School,Skilled Manual,No,Lauren Davis,47,Low
11139,Mrs.,Tanya,Moreno,1938-11-09,Single,Female,tanya2@adventure-works.com,30000.0,2,Partial College,Clerical,No,Tanya Moreno,87,Low
11140,Mr.,Javier,Alvarez,1977-02-11,Single,Male,javier1@adventure-works.com,30000.0,0,Partial High School,Clerical,No,Javier Alvarez,49,Low
11141,Ms.,Nicole,Ramirez,1977-06-21,Married,Female,nicole42@adventure-works.com,40000.0,0,High School,Skilled Manual,No,Nicole Ramirez,48,Low
11142,Mr.,Eduardo,Patterson,1977-08-14,Single,Male,eduardo55@adventure-works.com,40000.0,0,High School,Skilled Manual,No,Eduardo Patterson,48,Low
11143,Mr.,Jonathan,Henderson,1977-02-04,Married,Male,jonathan4@adventure-works.com,40000.0,0,High School,Skilled Manual,Yes,Jonathan Henderson,49,Low
11144,Mr.,Edward,Hernandez,1979-09-09,Single,Male,edward48@adventure-works.com,40000.0,0,High School,Skilled Manual,No,Edward Hernandez,46,Low
11145,Ms.,Jasmine,Coleman,1979-12-08,Single,Female,jasmine46@adventure-works.com,40000.0,0,High School,Skilled Manual,No,Jasmine Coleman,46,Low
11146,Mrs.,Karla,Goel,1939-08-26,Single,Female,karla20@adventure-works.com,40000.0,2,Bachelors,Management,Yes,Karla Goel,86,Low
11147,Mr.,Ernest,Wu,1939-02-05,Married,Male,ernest6@adventure-works.com,60000.0,2,Graduate Degree,Management,Yes,Ernest Wu,87,Medium
11148,Mr.,Ross,Vazquez,1941-08-16,Married,Male,ross32@adventure-works.com,40000.0,2,Bachelors,Management,Yes,Ross Vazquez,84,Low
11149,Mr.,Theodore,Gill,1941-04-20,Married,Male,theodore14@adventure-works.com,40000.0,2,Bachelors,Management,Yes,Theodore Gill,85,Low
11150,Mr.,Russell,Shen,1941-03-15,Single,Male,russell6@adventure-works.com,40000.0,2,Bachelors,Management,Yes,Russell Shen,85,Low
11151,Mrs.,Melinda,Gill,1942-02-25,Single,Female,melinda9@adventure-works.com,60000.0,2,Graduate Degree,Management,No,Melinda Gill,84,Medium
11152,Mr.,James,Williams,1976-01-10,Single,Male,james77@adventure-works.com,40000.0,0,High School,Skilled Manual,Yes,James Williams,50,Low
11153,Ms.,Angela,James,1976-06-23,Married,Female,angela34@adventure-works.com,40000.0,0,High School,Skilled Manual,Yes,Angela James,49,Low
11154,Ms.,Megan,Walker,1976-08-21,Single,Female,megan25@adventure-works.com,40000.0,0,Partial College,Skilled Manual,Yes,Megan Walker,49,Low
11155,Mr.,Hunter,Robinson,1976-01-26,Single,Male,hunter50@adventure-works.com,40000.0,0,Partial College,Skilled Manual,No,Hunter Robinson,50,Low
11156,Ms.,Maria,Roberts,1976-02-07,Single,Female,maria47@adventure-works.com,40000.0,0,Partial College,Skilled Manual,No,Maria Roberts,50,Low
11157,Ms.,Hannah,Long,1975-06-11,Married,Female,hannah32@adventure-works.com,40000.0,0,High School,Skilled Manual,Yes,Hannah Long,50,Low
11158,Mr.,Jason,Wright,1975-10-08,Single,Male,jason46@adventure-works.com,40000.0,0,High School,Skilled Manual,Yes,Jason Wright,50,Low
11159,Ms.,Brianna,Hughes,1975-09-17,Single,Female,brianna57@adventure-works.com,40000.0,0,High School,Skilled Manual,No,Brianna Hughes,50,Low
11160,Mr.,Maurice,Tang,1974-01-08,Single,Male,maurice4@adventure-works.com,40000.0,0,Partial College,Skilled Manual,No,Maurice Tang,52,Low
11161,Ms.,Emily,Wood,1974-04-22,Single,Female,emily27@adventure-works.com,40000.0,0,Partial College,Skilled Manual,No,Emily Wood,52,Low
11162,Mr.,Chase,Cox,1974-03-05,Single,Male,chase10@adventure-works.com,40000.0,0,Partial College,Skilled Manual,Yes,Chase Cox,52,Low
11163,Mr.,Gabriel,Wang,1974-12-20,Married,Male,gabriel21@adventure-works.com,40000.0,0,Partial College,Skilled Manual,Yes,Gabriel Wang,51,Low
11164,Mr.,Devin,Brooks,1974-05-05,Single,Male,devin63@adventure-works.com,40000.0,0,Partial College,Skilled Manual,No,Devin Brooks,52,Low
11165,Ms.,Jocelyn,Alexander,1973-07-18,Married,Female,jocelyn18@adventure-works.com,60000.0,0,Partial College,Skilled Manual,No,Jocelyn Alexander,52,Medium
11166,Ms.,Ashley,Martinez,1972-04-24,Single,Female,ashley18@adventure-works.com,70000.0,0,Partial College,Skilled Manual,No,Ashley Martinez,54,Medium
11167,Ms.,Jasmine,Barnes,1972-08-01,Single,Female,jasmine43@adventure-works.com,80000.0,0,Bachelors,Management,No,Jasmine Barnes,53,Medium
11168,Mr.,David,Rodriguez,1968-05-15,Single,Male,david83@adventure-works.com,80000.0,0,Bachelors,Management,No,David Rodriguez,58,Medium
11169,Mr.,Bryce,Richardson,1968-06-22,Married,Male,bryce8@adventure-works.com,90000.0,4,Bachelors,Management,Yes,Bryce Richardson,57,Medium
11170,Mrs.,Carol,Howard,1968-02-05,Married,Female,carol5@adventure-works.com,90000.0,4,Bachelors,Management,Yes,Carol Howard,58,Medium
11171,Mr.,Jonathan,Hill,1967-10-09,Single,Male,jonathan43@adventure-works.com,100000.0,1,Bachelors,Management,Yes,Jonathan Hill,58,High
11172,Mrs.,Gabrielle,Adams,1967-11-21,Married,Female,gabrielle58@adventure-works.com,100000.0,1,Bachelors,Management,Yes,Gabrielle Adams,58,High
11173,Ms.,Sarah,Thomas,1967-09-01,Single,Female,sarah13@adventure-works.com,110000.0,0,Graduate Degree,Management,No,Sarah Thomas,58,High
11174,Mr.,Nicholas,Robinson,1967-07-13,Married,Male,nicholas19@adventure-works.com,110000.0,0,Graduate Degree,Management,Yes,Nicholas Robinson,58,High
11175,Mr.,Luis,Wang,1963-03-05,Single,Male,luis24@adventure-works.com,70000.0,0,Partial College,Skilled Manual,Yes,Luis Wang,63,Medium
11176,Mr.,Mason,Roberts,1968-01-25,Married,Male,mason25@adventure-works.com,90000.0,4,Bachelors,Management,Yes,Mason Roberts,58,Medium
11177,Mr.,Jose,Flores,1942-07-04,Married,Male,jose6@adventure-works.com,110000.0,2,Graduate Degree,Management,Yes,Jose Flores,83,High
11178,Mr.,Nathan,Johnson,1943-08-24,Married,Male,nathan55@adventure-works.com,100000.0,2,Graduate Degree,Management,Yes,Nathan Johnson,82,High
11179,Mrs.,Molly,Rodriguez,1943-06-14,Married,Female,molly18@adventure-works.com,120000.0,2,Graduate Degree,Management,Yes,Molly Rodriguez,83,High
